user_id,target_index,reason,confidence,n_raw,n_val,changed_flag,n_removed,n_added,jaccard,gt_match_raw,gt_match_val,gt_match_delta,act_raw,act_val,act_delta,spec_raw,spec_val,spec_delta,spec_removed,spec_survived,removed_concepts,added_concepts
AE2222FRPDMNOMYOMCWIANTXP7UQ,6,exploration,0.65,2,2,0,0,0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,3.8875,3.8875,0.0,0.0,3.8875,,
AE22236AFRRSMQIKGG7TPTB75QEA,35,exploration,0.65,2,1,1,1,0,0.5,0.0,0.0,0.0,3.5,7.0,3.5,4.996,3.0693,-1.9267,6.9227,3.0693,category:award_winners_in_movies_&_tv,
AE222H3FGXWLHRFUMGMS2RR57NDQ,5,task_focus,0.85,1,1,0,0,0,1.0,1.0,1.0,0.0,11.0,11.0,0.0,2.8168,2.8168,0.0,0.0,2.8168,,
AE223AAG2OHFGX6BTTD3HGJZCMDQ,10,exploration,0.55,2,2,0,0,0,1.0,0.0,0.0,0.0,10.0,10.0,0.0,2.6704,2.6704,0.0,0.0,2.6704,,
AE223CNRS5AQOKRWCFPRBUNJ5T2Q,23,budget_shift,0.85,2,2,0,0,0,1.0,0.5,0.5,0.0,8.5,8.5,0.0,2.943,2.943,0.0,0.0,2.943,,
AE223HSYBHVEG3XV2SRRXWFHM5KQ,46,task_focus,0.75,2,2,0,0,0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,2.943,2.943,0.0,0.0,2.943,,
AE223LCLCY6NFVSZZG2D7NTMVFNQ,31,exploration,0.65,2,2,0,0,0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,4.5832,4.5832,0.0,0.0,4.5832,,
AE223RESKPXP7FRTRFDE3MKUFICQ,8,task_focus,0.7,1,1,0,0,0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.8168,2.8168,0.0,0.0,2.8168,,
AE223TJGMPB52KZDJB6T2X3F2GDQ,5,task_focus,0.75,1,1,0,0,0,1.0,0.0,0.0,0.0,8.0,8.0,0.0,2.8168,2.8168,0.0,0.0,2.8168,,
AE224LPROPV3L6PVRI2PBWE44XGA,9,aligned,0.55,1,1,0,0,0,1.0,1.0,1.0,0.0,67.0,67.0,0.0,0.6173,0.6173,0.0,0.0,0.6173,,
AE225DM3RGJXILO6KVFEFLVT37AQ,6,aligned,0.55,1,1,0,0,0,1.0,1.0,1.0,0.0,43.0,43.0,0.0,0.6173,0.6173,0.0,0.0,0.6173,,
AE225P7FIMCUQD3TPAOF5LSGCLYQ,36,exploration,0.65,2,2,0,0,0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,4.2931,4.2931,0.0,0.0,4.2931,,
AE225Z2VRWT6GPTOMA4H4O3H2KVQ,9,exploration,0.65,3,2,1,1,0,0.6667,0.0,0.0,0.0,2.6667,4.0,1.3333,3.7165,3.5257,-0.1908,4.098,3.5257,category:science_fiction_&_fantasy,
