user_id,target_index,reason,confidence,n_raw,n_val,changed_flag,n_removed,n_added,jaccard,gt_match_raw,gt_match_val,gt_match_delta,act_raw,act_val,act_delta,spec_raw,spec_val,spec_delta,spec_removed,spec_survived,removed_concepts,added_concepts
AE22236AFRRSMQIKGG7TPTB75QEA,35,exploration,0.65,2,1,1,1,0,0.5,0.0,0.0,0.0,3.5,7.0,3.5,4.996,3.0693,-1.9267,6.9227,3.0693,category:award_winners_in_movies_&_tv,
AE225Z2VRWT6GPTOMA4H4O3H2KVQ,9,exploration,0.65,3,2,1,1,0,0.6667,0.0,0.0,0.0,2.6667,4.0,1.3333,3.7165,3.5257,-0.1908,4.098,3.5257,category:science_fiction_&_fantasy,
AE226DTQNCWSVWLHQNZS7APPJFQA,6,exploration,0.65,2,1,1,1,0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,5.8561,6.1796,0.3235,5.5326,6.1796,category:adventure,
AE227XGHLZKVCOXU23TZFRDXSWTA,5,exploration,0.65,2,1,1,1,0,0.5,0.5,1.0,0.5,3.5,7.0,3.5,5.1042,2.8168,-2.2875,7.3917,2.8168,category:mother's_day_gift_ideas_in_movies_&_tv,
AE22B23K3KEVKL47UZ3QHIX2PI7A,23,exploration,0.65,2,1,1,1,0,0.5,0.0,0.0,0.0,2.5,5.0,2.5,4.1418,2.5241,-1.6178,5.7596,2.5241,category:emotional,
AE22B2XZQ6JPCVBRTLUNBNZB2IJQ,6,exploration,0.65,2,0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4417,0.0,-4.4417,4.4417,0.0,category:fantasy;category:science_fiction_&_fantasy,
AE22BN3RTUULEV6FQDSNAOKV5GDA,5,exploration,0.65,2,1,1,1,0,0.5,0.0,0.0,0.0,2.0,4.0,2.0,4.5623,3.7852,-0.777,5.3393,3.7852,category:anime_&_manga,
AE22CECOIL6HFA3ZEFIZWGHUFHLA,7,exploration,0.55,2,1,1,1,0,0.5,0.0,0.0,0.0,1.5,3.0,1.5,3.4521,2.5241,-0.928,4.3801,2.5241,category:suspense,
AE22CFXT3QZKUQJORVTGL3VQXAAA,7,exploration,0.65,2,1,1,1,0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,5.8379,4.7058,-1.1321,6.97,4.7058,category:western,
AE22CS5OIRQTN7WDKQ2F3BYP5CXA,9,exploration,0.65,2,1,1,1,0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,5.6751,4.3801,-1.2949,6.97,4.3801,category:western,
AE22DM7HRD5NEP432MYD7FJ75JFQ,10,exploration,0.75,2,0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1811,0.0,-4.1811,4.1811,0.0,category:science_fiction;category:suspense,
AE22EOS3QTBIOXYUKYWG7Z2ZOWSQ,8,exploration,0.65,2,1,1,1,0,0.5,0.0,0.0,0.0,3.0,6.0,3.0,3.9562,2.8168,-1.1395,5.0957,2.8168,category:mystery_&_thrillers,
